event,decision,think_decision
I have not learned swimming since childhood. I have a phobia for water i guess. Now its difficult to learn,Related,Related
I have people who litter on my property constantly and throw their beer bottles and food trash- Not just kids..but older men. Drives me nuts,Related,Related
"Every other night at around the same time, I keep hearing a girl scream",Related,Related
"I'm sleep training my toddler, he never slept in his crib before. He is crying and it makes me feel so bad",Related,Related
"I went to the grocery store last week, which is 30 miles away from my house, and when I got home, I discovered I was overcharged by $20. That made me mad!",Related,Related
Last year a student I teach had a house fire.,Unrelated,Unrelated
"I was walking on the road, hurrying and I slip and fell. There were several people on the road. I felt really bad.",Related,Related
Yesterday I went to Starbucks and the line was so long. I waited 20 minutes for my drink!,Related,Related
I have been having horrible stomach pains and have followed everything my doctor said to do but nothing is helping. I am worried that something is horribly wrong!,Related,Related
I rented out my house and when I came back it was filthy and smelly,Related,Related
"I am so stress. Tomorrow, I will have my final exams.",Related,Related
I pulled out of my driveway during a horrendous rain storm and accidently ran over my neighbors cat,Related,Related
I have been feeling a little nervous about getting into grad school.,Related,Related
My mother-in-law once told a secret of mine that she promised she would never tell,Related,Related
We might have to put our dog down soon.,Related,Related
My sister and I lived close to each other then I moved an hour away.,Related,Related
Recently moved to a new dorm and when i came in the kitchen was a total disaster. Months old piles of dishes in the sink with mold and dried up old food on the stove.,Related,Related
I had a job interview that I didn't really feel prepared for.,Related,Related
Some dude was staring at my girlfriend tonight at dinner. Made me feel some type of way.,Related,Related
"Last year, during the spring, extremely heavy rainfall caused our basement to become flooded.",Related,Unrelated
I feel so bad because I took what was my daddy's rolex watch without his permission,Related,Related
"Every year n=on my friends's birthday, I take her out for dinner and drinks. Her birthday was last week.",Related,Unrelated
I just finished moving and got charged double what I was quoted by the moving company!,Related,Related
"I can't stand it when my wife hugs other men. I know it doesn't mean anything, but still.",Related,Related
My girlfriend has left town for the week and I miss her. It is annoying waiting for her return.,Related,Related
I was home alone and someone was in the carport looking in a window,Related,Related
"Today, I ran over some roadkill on my way home from work. It was rather disgusting.",Related,Related
Did you ever do something in your childhood that you arent proud of?,Unrelated,Unrelated
I saw my neighbor bought the car I have always wanted. I wish I was in a a better financial position to buy one.,Related,Related
"I bought a new phone recently and not long after i dropped it and shattered the screen, first time this happens and it was just terrible.",Related,Related
I am reluctant to confront my my best friend's girlfriend. I think my best friend is cheating on her...,Related,Related
I'm a little sad my youngest son is starting Kindergarten in a few days.,Related,Related
Last week I felt so abandoned when my family went to town all day without me.,Related,Related
I was scared over the storm last night. I do not like bad weather,Related,Related
I used to have a boxer puppy that was so sweet and adorable. HOwever he had on issue that I could not stand.,Related,Unrelated
I am so nervous. I have a big presentation coming up at work.,Related,Related
i felt bad when i couldnt get my daughter the gift she wanted,Related,Related
I hate that people hit on others they know are married.,Related,Related
My sister let my dog run out the door when she was not paying attention!,Related,Related
Robin williams was my hero i am so sad he's gone,Related,Unrelated
it feels like hitting to blank wall when i see the darkness,Related,Related
There was a wasp in my bedroom when I woke up this morning.,Related,Related
My 15 year old stole a family members bank card number and overdrawn the account by $500. I was so mad I asked him about it and he had the nerve to lie to me even with the proof that I needed,Related,Related
"My cousin has the perfect life, sometimes I am envious of her.",Related,Related
"I've had the worst week, someone stole my credit card information.",Related,Related
I ate the last two cookies in the jar. I don't know if what I did was right.,Related,Related
So annoying to hear people talking when I'm trying to listen to my teacher.,Related,Related
work transferred me to a new city. its nice so far but i dont know a single person,Related,Related
Someone cut me off in traffic the other day.,Related,Related
my brother passed away 2 years ago and i'm still so heartbroken. it still hurts so much,Related,Related
I hate it when the gym is so very full..,Related,Related
"I applied for a job recently. It was a federal job that took me months to apply and train for. After I gave my 2 week notice to my current employer, the federal organization pulled their job offer.",Related,Related
"i have to go out of town, i am not looking forward to flying",Related,Related
My step dad showed me a cut he got while working on his boat and I could see his muscle fibers. I almost puked.,Related,Related
I wonder how my ex got such a pretty girlfriend. He doesn't look that great.,Related,Unrelated
I feel horrible. I lost my temper and slapped my dog :(,Related,Related
"every time i leave my room and see that my nieces have been on my devices like my phone or lab top it gets a little upset, as they change all my settings and close all my tabs",Related,Related
I was sick when I saw a dead animal on the sidewalk. It made me feel bad,Related,Related
My tooth is shaking and i think it will fall off,Related,Related
Gosh it is already 11:30pm and my kids are still awake!,Related,Related
I got a final warning at work today for something I didn't even do!,Related,Related
"I am sad, it is my birthday and I feel really sick",Related,Related
"""there was a time when I lived in another state with no family around.",Related,Unrelated
"When I was younger, I went on a trip to my cousins ski home in New York. I am from Florida and didn't know any better and stuck my tongue to a frozen pole when one of my cousins dared me to. I dont recommend it.",Unrelated,Unrelated
I was watching a horror movie with my friends and I got really scared,Related,Unrelated
"I lost my dog, I feel so bad.",Related,Related
My kid broke my watch today...I was so mad!,Related,Related
im envious of my friends who are off work today,Related,Related
"When i was younger, I came back to the house with my family to find our family pet dead.",Related,Unrelated
I had to wait in line for 15 minutes at the store today. There was only one poor cashier working.,Related,Related
I was very mad when France won the world cup! Have you seen the game?,Related,Related
"My friend who never say no to me. Such a great companion she is! She asked me for a help. At the time I was out of town, so I was unable to do a favor",Related,Related
"I want to evertually move to new york and be closer to my brother and friend , im just a bit afraid as i really dont know much about anything there",Related,Related
I was grossed out when I saw someone vomit outside a bar.,Related,Related
i was so angry when a friend of mine made a pass at my girlfriend,Related,Unrelated
A few weeks ago a lady at my job got a promotion i thought i was going to get.,Related,Related
"I was heartbroken when my grandma passed away, I was not equipped to handle that",Related,Related
I was feeling so bad after fighting with my spouse and realizing it was actually my fault.,Related,Related
"My brother promised not to tell my parents my secret, and of course he still did.",Related,Related
I was stopped at a traffic light when a woman in a truck scraped slowly along the side of my car.,Related,Related
I was a little upset earlier. My brother did not meet me for lunch,Related,Related
my baby boy took off his pamper in the night and got poop everywhere!,Related,Related
I recently went to a safari where I was riding in a vehicle and one of the elephants got a bit rowdy and pushed up against the truck. I was freaking out!,Related,Related
I got a free pizza from Domino's but felt bad about how it happened.,Related,Related
I was at dinner last night with friends and I lost my wallet.,Related,Related
My cousin got accepted into Med school and I am very envious! I wish it was me...,Related,Related
I have a friend who is always complaining. She always has to make it sound like her life is harder than everyone else's.,Unrelated,Related
I was at a party and my friend who invited me ran off with some guy she met.,Related,Related
When I was younger I slept in the attic of what everyone thought was a haunted house. There'd be shadowy spectres and sounds all night every night.,Related,Unrelated
I went on a walk yesterday and stepped in some dog poop.,Related,Related
"I got upset and blamed my daughter for something, only to find out it wasnt her fault.",Related,Related
My coworker forgot to turn in the paperwork to switch our on call weeks. He ended up costing me $250! I'm so mad!,Related,Related
I still feel the loss of my 19 year old cat Lexi. She was my first pet as an adult.,Related,Related
I have a dental appointment for a root canal tomorrow.,Related,Related
One time I kept waiting for this person to respond to my texts. He never did,Related,Related
I was at a bus station and a woman was sitting in the bus station. A homeless person came close and started peeing.,Related,Related
The alarm at my work was going off while I was closing up. And the cops came by.,Related,Unrelated
"gosh ive been feeling so nervous for the past 24 hours, its almost like an impending sense of doom, To my knowledge theres nothing about to go wrong or blow up in my face but it feels like something is going badly",Related,Related
Can you believe that for the third time in the past two weeks my lunch has been stolen at work. I am so heated right now.,Related,Related
i am out of dr pepper and I am so peeved right now,Related,Related
"""I was angry when my dog got into the garbage can while I was out!"".",Related,Unrelated
i really miss my family. it's hard to be 800 miles away,Related,Related
I was alone last summer when all of my friends were gone. It just felt like I had no one to hang with,Related,Unrelated
"Last night, I jumped awake with a start. There was a tapping at the window",Related,Related
"Sometimes even though I have a girlfriend, I wonder what it'd be like to be with someone else",Related,Related
I went to a restaurant and after I got the bill I realized that I did not have my wallet on me! The manager was yelling at me demanding me to pay before I left.,Related,Related
My friend found out I shared a secret he told me. I really feel embarrassed!,Related,Related
I hate it when I get ignored. It makes me feel less human and I get very mad!,Related,Related
I recently learned that a close friend is getting foreclosed on their home.,Related,Unrelated
I think I am going to have to serve on a jury and I am terrified,Related,Related
I had to take a trip away from home for three weeks. It made me so nervous I couldn't sleep.,Related,Related
I worked for a company for 5 years and I found a new job that paid better. I worked out the last of my shifts but I felt bad for leaving a company that was so good to me.,Related,Related
I don't like working with managers that try to micro-manage me,Related,Related
I hate the ocean. I am very scared.,Related,Related
I watched a news report about the mistreatment of animals. The behavior of these people is something I can't stand,Related,Related
i thought i was being broken into last night.i moved into a new house yesterday,Related,Related
"I had plans with my friend to go to dinner, but I chose to stay at work to make more money",Related,Related
"I thought a free trial date was Aug 10th, not the 8th so I was charged last night!",Related,Related
"Ugh, I was so embarrassed with myself the other day for snapping at a sales lady.",Related,Related
I am worried about starting my new job tomorrow. I am nervous I won't make good first impressions.,Related,Related
My husband works late at night and sometimes I'm stuck by myself.,Related,Related
"I was stuck cleaning the restroom at the end of my shift, and someone threw up everywhere.",Related,Related
"I lied to my friend a few days ago, and it made me feel really bad",Related,Related
My brother is so spoiled! My parents get him the coolest birthday presents!,Unrelated,Related
My wife's cousin was sent to the hospital and was placed in a medically induced coma with something having to do with his lungs,Unrelated,Unrelated
I am not proud that I cheated on my exam in school.,Related,Related
"I have an exam tomorrow, but I'm at work pretty late",Related,Related
"I was so excited to move to a new state, but when i moved into my apartment it was full of bugs! ugh",Related,Related
"When someone talks down to me, it makes me sad",Related,Related
"I went to the park yesterday all by myself, since my friends ditched me.",Related,Related
I was watching a TV show where people were eating cockroachs. I wanted to throw up.,Related,Related
i thought someone was breaking into my apartment last night,Related,Related
"When my son was 5 years old, he had to have his tonsils taken out. I thought it would be nothing, but when they went to take him back, I got so anxious.",Related,Unrelated
My daughter was sick the other day and I couldn't afford to miss work.,Related,Related
My boyfriend has been spending a lot of time with a new friend he met at work.,Related,Related
I thought my life was over when my dog died.,Related,Related
I couldn't sleep last night. I ended up staying up till 2am and eating a large amount of Shepard's pie.,Related,Related
"I work with a commercial bank, the place was burgled my criminals , i was the one on duty that fateful day",Related,Related
Driving in traffic is such a frustration and in the city I live in there is always traffic.,Related,Related
It's the middle of the night and someone is banging on my garage door!,Related,Related
i was mad when i saw someone put a dent in my car door,Related,Related
My mom just called and told my my grandma has cancer,Related,Related
